start	end	text
626000	627000	Let's go to the next video.
627000	628000	Let's go to the next video.
628000	629000	Let's go to the next video.
629000	630000	Let's go to the next video.
630000	631000	Let's go to the next video.
631000	632000	Let's go to the next video.
632000	633000	Let's go to the next video.
633000	634000	Let's go to the next video.
634000	635000	Let's go to the next video.
635000	636000	Let's go to the next video.
636000	637000	Let's go to the next video.
637000	638000	Let's go to the next video.
638000	639000	Let's go to the next video.
639000	640000	Let's go to the next video.
640000	641000	Let's go to the next video.
641000	642000	Let's go to the next video.
642000	643000	Let's go to the next video.
643000	644000	Let's go to the next video.
644000	645000	Let's go to the next video.
645000	646000	Let's go to the next video.
646000	647000	Let's go to the next video.
647000	648000	Let's go to the next video.
648000	649000	Let's go to the next video.
649000	650000	Let's go to the next video.
650000	651000	Let's go to the next video.
651000	652000	Let's go to the next video.
652000	653000	Let's go to the next video.
653000	654000	Let's go to the next video.
654000	655000	Let's go to the next video.
655000	656000	Let's go to the next video.
656000	657000	Let's go to the next video.
657000	658000	Let's go to the next video.
658000	659000	Let's go to the next video.
659000	660000	Let's go to the next video.
660000	661000	Let's go to the next video.
661000	662000	Let's go to the next video.
662000	663000	Let's go to the next video.
663000	664000	Let's go to the next video.
664000	665000	Let's go to the next video.
665000	666000	Let's go to the next video.
666000	667000	Let's go to the next video.
667000	668000	Let's go to the next video.
668000	669000	Let's go to the next video.
669000	670000	Let's go to the next video.
670000	671000	Let's go to the next video.
671000	672000	Let's go to the next video.
672000	673000	Let's go to the next video.
673000	674000	Let's go to the next video.
674000	675000	Let's go to the next video.
675000	676000	Let's go to the next video.
676000	677000	Let's go to the next video.
677000	678000	Let's go to the next video.
678000	679000	Let's go to the next video.
679000	680000	Let's go to the next video.
680000	681000	Let's go to the next video.
681000	682000	Let's go to the next video.
682000	683000	Let's go to the next video.
683000	684000	Let's go to the next video.
684000	685000	Let's go to the next video.
685000	686000	Let's go to the next video.
686000	687000	Let's go to the next video.
687000	688000	Let's go to the next video.
688000	689000	Let's go to the next video.
689000	690000	Let's go to the next video.
690000	691000	Let's go to the next video.
691000	692000	Let's go to the next video.
692000	693000	Let's go to the next video.
693000	694000	Let's go to the next video.
694000	695000	Let's go to the next video.
695000	696000	Let's go to the next video.
696000	697000	Let's go to the next video.
697000	698000	Let's go to the next video.
698000	699000	Let's go to the next video.
699000	700000	Let's go to the next video.
700000	701000	Let's go to the next video.
701000	702000	Let's go to the next video.
702000	703000	Let's go to the next video.
703000	704000	Let's go to the next video.
704000	705000	Let's go to the next video.
705000	706000	Let's go to the next video.
706000	707000	Let's go to the next video.
707000	708000	Let's go to the next video.
708000	709000	Let's go to the next video.
709000	710000	Let's go to the next video.
710000	711000	Let's go to the next video.
711000	712000	Let's go to the next video.
712000	713000	Let's go to the next video.
713000	714000	Let's go to the next video.
714000	715000	Let's go to the next video.
715000	716000	Let's go to the next video.
716000	717000	Let's go to the next video.
717000	718000	Let's go to the next video.
718000	719000	Let's go to the next video.
719000	720000	Let's go to the next video.
720000	721000	Let's go to the next video.
721000	722000	Let's go to the next video.
722000	723000	Let's go to the next video.
723000	724000	Let's go to the next video.
724000	725000	Let's go to the next video.
725000	726000	Let's go to the next video.
726000	727000	Let's go to the next video.
727000	728000	Let's go to the next video.
728000	729000	Let's go to the next video.
729000	730000	Let's go to the next video.
730000	731000	Let's go to the next video.
731000	732000	Let's go to the next video.
732000	733000	Let's go to the next video.
733000	734000	Let's go to the next video.
734000	735000	Let's go to the next video.
735000	736000	Let's go to the next video.
736000	737000	Let's go to the next video.
737000	738000	Let's go to the next video.
738000	739000	Let's go to the next video.
739000	740000	Let's go to the next video.
740000	741000	Let's go to the next video.
741000	742000	Let's go to the next video.
742000	743000	Let's go to the next video.
743000	744000	Let's go to the next video.
744000	745000	Let's go to the next video.
745000	746000	Let's go to the next video.
746000	747000	Let's go to the next video.
747000	748000	Let's go to the next video.
748000	749000	Let's go to the next video.
749000	750000	Let's go to the next video.
750000	751000	Let's go to the next video.
751000	752000	Let's go to the next video.
752000	753000	Let's go to the next video.
753000	754000	Let's go to the next video.
754000	755000	Let's go to the next video.
755000	756000	Let's go to the next video.
756000	757000	Let's go to the next video.
757000	758000	Let's go to the next video.
758000	759000	Let's go to the next video.
759000	760000	Let's go to the next video.
760000	761000	Let's go to the next video.
761000	762000	Let's go to the next video.
762000	763000	Let's go to the next video.
763000	764000	Let's go to the next video.
764000	765000	Let's go to the next video.
765000	766000	Let's go to the next video.
766000	767000	Let's go to the next video.
767000	768000	Let's go to the next video.
768000	769000	Let's go to the next video.
769000	770000	Let's go to the next video.
770000	771000	Let's go to the next video.
771000	772000	Let's go to the next video.
772000	773000	Let's go to the next video.
773000	774000	Let's go to the next video.
774000	775000	Let's go to the next video.
775000	776000	Let's go to the next video.
776000	777000	Let's go to the next video.
777000	778000	Let's go to the next video.
778000	779000	Let's go to the next video.
779000	780000	Let's go to the next video.
780000	781000	Let's go to the next video.
781000	782000	Let's go to the next video.
782000	783000	Let's go to the next video.
783000	784000	Let's go to the next video.
784000	785000	Let's go to the next video.
785000	786000	Let's go to the next video.
786000	787000	Let's go to the next video.
787000	788000	Let's go to the next video.
788000	789000	Let's go to the next video.
789000	790000	Let's go to the next video.
790000	791000	Let's go to the next video.
791000	792000	Let's go to the next video.
792000	793000	Let's go to the next video.
793000	794000	Let's go to the next video.
794000	795000	Let's go to the next video.
795000	796000	Let's go to the next video.
796000	797000	Let's go to the next video.
797000	798000	Let's go to the next video.
798000	799000	Let's go to the next video.
799000	800000	Let's go to the next video.
800000	801000	Let's go to the next video.
801000	802000	Let's go to the next video.
802000	803000	Let's go to the next video.
803000	804000	Let's go to the next video.
804000	805000	Let's go to the next video.
805000	806000	Let's go to the next video.
806000	807000	Let's go to the next video.
807000	808000	Let's go to the next video.
808000	809000	Let's go to the next video.
809000	810000	Let's go to the next video.
810000	811000	Let's go to the next video.
811000	812000	Let's go to the next video.
812000	813000	Let's go to the next video.
813000	814000	Let's go to the next video.
814000	815000	Let's go to the next video.
815000	816000	Let's go to the next video.
816000	817000	Let's go to the next video.
817000	818000	Let's go to the next video.
818000	819000	Let's go to the next video.
819000	820000	Let's go to the next video.
820000	821000	Let's go to the next video.
821000	822000	Let's go to the next video.
822000	823000	Let's go to the next video.
823000	824000	Let's go to the next video.
824000	825000	Let's go to the next video.
825000	826000	Let's go to the next video.
826000	827000	Let's go to the next video.
827000	828000	Let's go to the next video.
828000	829000	Let's go to the next video.
829000	830000	Let's go to the next video.
830000	831000	Let's go to the next video.
831000	832000	Let's go to the next video.
832000	833000	Let's go to the next video.
833000	834000	Let's go to the next video.
834000	835000	Let's go to the next video.
835000	836000	Let's go to the next video.
836000	837000	Let's go to the next video.
837000	838000	Let's go to the next video.
838000	839000	Let's go to the next video.
839000	840000	Let's go to the next video.
840000	841000	Let's go to the next video.
841000	842000	Let's go to the next video.
842000	843000	Let's go to the next video.
843000	844000	Let's go to the next video.
844000	845000	Let's go to the next video.
845000	846000	Let's go to the next video.
846000	847000	Let's go to the next video.
847000	848000	Let's go to the next video.
848000	849000	Let's go to the next video.
849000	850000	Let's go to the next video.
850000	851000	Let's go to the next video.
851000	852000	Let's go to the next video.
852000	853000	Let's go to the next video.
853000	854000	Let's go to the next video.
854000	855000	Let's go to the next video.
855000	856000	Let's go to the next video.
856000	857000	Let's go to the next video.
857000	858000	Let's go to the next video.
858000	859000	Let's go to the next video.
859000	860000	Let's go to the next video.
860000	861000	Let's go to the next video.
861000	862000	Let's go to the next video.
862000	863000	Let's go to the next video.
863000	864000	Let's go to the next video.
864000	865000	Let's go to the next video.
865000	866000	Let's go to the next video.
866000	867000	Let's go to the next video.
867000	868000	Let's go to the next video.
868000	869000	Let's go to the next video.
869000	870000	Let's go to the next video.
870000	871000	Let's go to the next video.
871000	872000	Let's go to the next video.
872000	873000	Let's go to the next video.
873000	874000	Let's go to the next video.
874000	875000	Let's go to the next video.
875000	876000	Let's go to the next video.
876000	877000	Let's go to the next video.
877000	878000	Let's go to the next video.
878000	879000	Let's go to the next video.
879000	880000	Let's go to the next video.
880000	881000	Let's go to the next video.
881000	882000	Let's go to the next video.
882000	883000	Let's go to the next video.
883000	884000	Let's go to the next video.
884000	885000	Let's go to the next video.
885000	886000	Let's go to the next video.
886000	887000	Let's go to the next video.
887000	888000	Let's go to the next video.
888000	889000	Let's go to the next video.
889000	890000	Let's go to the next video.
890000	891000	Let's go to the next video.
891000	892000	Let's go to the next video.
892000	893000	Let's go to the next video.
893000	894000	Let's go to the next video.
894000	895000	Let's go to the next video.
895000	896000	Let's go to the next video.
896000	897000	Let's go to the next video.
897000	898000	Let's go to the next video.
898000	899000	Let's go to the next video.
899000	900000	Let's go to the next video.
900000	901000	Let's go to the next video.
901000	902000	Let's go to the next video.
902000	903000	Let's go to the next video.
903000	904000	Let's go to the next video.
904000	905000	Let's go to the next video.
905000	906000	Let's go to the next video.
906000	907000	Let's go to the next video.
907000	908000	Let's go to the next video.
908000	909000	Let's go to the next video.
909000	910000	Let's go to the next video.
910000	911000	Let's go to the next video.
911000	912000	Let's go to the next video.
912000	913000	Let's go to the next video.
913000	914000	Let's go to the next video.
914000	915000	Let's go to the next video.
915000	916000	Let's go to the next video.
916000	917000	Let's go to the next video.
917000	918000	Let's go to the next video.
918000	919000	Let's go to the next video.
919000	920000	Let's go to the next video.
920000	921000	Let's go to the next video.
921000	922000	Let's go to the next video.
922000	923000	Let's go to the next video.
923000	924000	Let's go to the next video.
924000	925000	Let's go to the next video.
925000	926000	Let's go to the next video.
926000	927000	Let's go to the next video.
927000	928000	Let's go to the next video.
928000	929000	Let's go to the next video.
929000	930000	Let's go to the next video.
930000	931000	Let's go to the next video.
931000	932000	Let's go to the next video.
932000	933000	Let's go to the next video.
933000	934000	Let's go to the next video.
934000	935000	Let's go to the next video.
935000	936000	Let's go to the next video.
936000	937000	Let's go to the next video.
937000	938000	Let's go to the next video.
938000	939000	Let's go to the next video.
939000	940000	Let's go to the next video.
940000	941000	Let's go to the next video.
941000	942000	Let's go to the next video.
942000	943000	Let's go to the next video.
943000	944000	Let's go to the next video.
944000	945000	Let's go to the next video.
945000	946000	Let's go to the next video.
946000	947000	Let's go to the next video.
947000	948000	Let's go to the next video.
948000	949000	Let's go to the next video.
949000	950000	Let's go to the next video.
950000	951000	Let's go to the next video.
951000	952000	Let's go to the next video.
952000	953000	Let's go to the next video.
953000	954000	Let's go to the next video.
954000	955000	Let's go to the next video.
955000	956000	Let's go to the next video.
956000	957000	Let's go to the next video.
957000	958000	Let's go to the next video.
958000	959000	Let's go to the next video.
959000	960000	Let's go to the next video.
960000	961000	Let's go to the next video.
961000	962000	Let's go to the next video.
962000	963000	Let's go to the next video.
963000	964000	Let's go to the next video.
964000	965000	Let's go to the next video.
965000	966000	Let's go to the next video.
966000	967000	Let's go to the next video.
967000	968000	Let's go to the next video.
968000	969000	Let's go to the next video.
969000	970000	Let's go to the next video.
970000	971000	Let's go to the next video.
971000	972000	Let's go to the next video.
972000	973000	Let's go to the next video.
973000	974000	Let's go to the next video.
974000	975000	Let's go to the next video.
975000	976000	Let's go to the next video.
976000	977000	Let's go to the next video.
977000	978000	Let's go to the next video.
978000	979000	Let's go to the next video.
979000	980000	Let's go to the next video.
980000	981000	Let's go to the next video.
981000	982000	Let's go to the next video.
982000	983000	Let's go to the next video.
983000	984000	Let's go to the next video.
984000	985000	Let's go to the next video.
985000	986000	Let's go to the next video.
986000	987000	Let's go to the next video.
987000	988000	Let's go to the next video.
988000	989000	Let's go to the next video.
989000	990000	Let's go to the next video.
990000	991000	Let's go to the next video.
991000	992000	Let's go to the next video.
992000	993000	Let's go to the next video.
993000	994000	Let's go to the next video.
994000	995000	Let's go to the next video.
995000	996000	Let's go to the next video.
996000	997000	Let's go to the next video.
997000	998000	Let's go to the next video.
998000	999000	Let's go to the next video.
999000	1000000	Let's go to the next video.
1000000	1001000	Let's go to the next video.
1001000	1002000	Let's go to the next video.
1002000	1003000	Let's go to the next video.
1003000	1004000	Let's go to the next video.
1004000	1005000	Let's go to the next video.
1005000	1006000	Let's go to the next video.
1006000	1007000	Let's go to the next video.
1007000	1008000	Let's go to the next video.
1008000	1009000	Let's go to the next video.
1009000	1010000	Let's go to the next video.
1010000	1011000	Let's go to the next video.
1011000	1012000	Let's go to the next video.
1012000	1013000	Let's go to the next video.
1013000	1014000	Let's go to the next video.
1014000	1015000	Let's go to the next video.
1015000	1016000	Let's go to the next video.
1016000	1017000	Let's go to the next video.
1017000	1018000	Let's go to the next video.
1018000	1019000	Let's go to the next video.
1019000	1020000	Let's go to the next video.
1020000	1021000	Let's go to the next video.
1021000	1022000	Let's go to the next video.
1022000	1023000	Let's go to the next video.
1023000	1024000	Let's go to the next video.
1024000	1025000	Let's go to the next video.
1025000	1026000	Let's go to the next video.
1026000	1027000	Let's go to the next video.
1027000	1028000	Let's go to the next video.
1028000	1029000	Let's go to the next video.
1029000	1030000	Let's go to the next video.
1030000	1031000	Let's go to the next video.
1031000	1032000	Let's go to the next video.
1032000	1033000	Let's go to the next video.
1033000	1034000	Let's go to the next video.
1034000	1035000	Let's go to the next video.
1035000	1036000	Let's go to the next video.
1036000	1037000	Let's go to the next video.
1037000	1038000	Let's go to the next video.
1038000	1039000	Let's go to the next video.
1039000	1040000	Let's go to the next video.
1040000	1041000	Let's go to the next video.
1041000	1042000	Let's go to the next video.
1042000	1043000	Let's go to the next video.
1043000	1044000	Let's go to the next video.
1044000	1045000	Let's go to the next video.
1045000	1046000	Let's go to the next video.
1046000	1047000	Let's go to the next video.
1047000	1048000	Let's go to the next video.
1048000	1049000	Let's go to the next video.
1049000	1050000	Let's go to the next video.
1050000	1051000	Let's go to the next video.
1051000	1052000	Let's go to the next video.
1052000	1053000	Let's go to the next video.
1053000	1054000	Let's go to the next video.
1054000	1055000	Let's go to the next video.
1055000	1056000	Let's go to the next video.
1056000	1057000	Let's go to the next video.
1057000	1058000	Let's go to the next video.
1058000	1059000	Let's go to the next video.
1059000	1060000	Let's go to the next video.
1060000	1061000	Let's go to the next video.
1061000	1062000	Let's go to the next video.
1062000	1063000	Let's go to the next video.
1063000	1064000	Let's go to the next video.
1064000	1065000	Let's go to the next video.
1065000	1066000	Let's go to the next video.
1066000	1067000	Let's go to the next video.
1067000	1068000	Let's go to the next video.
1068000	1069000	Let's go to the next video.
1069000	1070000	Let's go to the next video.
1070000	1071000	Let's go to the next video.
1071000	1072000	Let's go to the next video.
1072000	1073000	Let's go to the next video.
1073000	1074000	Let's go to the next video.
1074000	1075000	Let's go to the next video.
1075000	1076000	Let's go to the next video.
1076000	1077000	Let's go to the next video.
1077000	1078000	Let's go to the next video.
1078000	1079000	Let's go to the next video.
1079000	1080000	Let's go to the next video.
1080000	1081000	Let's go to the next video.
1081000	1082000	Let's go to the next video.
1082000	1083000	Let's go to the next video.
1083000	1084000	Let's go to the next video.
1084000	1085000	Let's go to the next video.
1085000	1086000	Let's go to the next video.
1086000	1087000	Let's go to the next video.
1087000	1088000	Let's go to the next video.
1088000	1089000	Let's go to the next video.
1089000	1090000	Let's go to the next video.
1090000	1091000	Let's go to the next video.
1091000	1092000	Let's go to the next video.
1092000	1093000	Let's go to the next video.
1093000	1094000	Let's go to the next video.
1094000	1095000	Let's go to the next video.
1095000	1096000	Let's go to the next video.
1096000	1097000	Let's go to the next video.
1097000	1098000	Let's go to the next video.
1098000	1099000	Let's go to the next video.
1099000	1100000	Let's go to the next video.
1100000	1101000	Let's go to the next video.
1101000	1102000	Let's go to the next video.
1102000	1103000	Let's go to the next video.
1103000	1104000	Let's go to the next video.
1104000	1105000	Let's go to the next video.
1105000	1106000	Let's go to the next video.
1106000	1107000	Let's go to the next video.
1107000	1108000	Let's go to the next video.
1108000	1109000	Let's go to the next video.
1109000	1110000	Let's go to the next video.
1110000	1111000	Let's go to the next video.
1111000	1112000	Let's go to the next video.
1112000	1113000	Let's go to the next video.
1113000	1114000	Let's go to the next video.
1114000	1115000	Let's go to the next video.
1115000	1116000	Let's go to the next video.
1116000	1117000	Let's go to the next video.
1117000	1118000	Let's go to the next video.
1118000	1119000	Let's go to the next video.
1119000	1120000	Let's go to the next video.
1120000	1121000	Let's go to the next video.
1121000	1122000	Let's go to the next video.
1122000	1123000	Let's go to the next video.
1123000	1124000	Let's go to the next video.
1124000	1125000	Let's go to the next video.
1125000	1126000	Let's go to the next video.
1126000	1127000	Let's go to the next video.
1127000	1128000	Let's go to the next video.
1128000	1129000	Let's go to the next video.
1129000	1130000	Let's go to the next video.
1130000	1131000	Let's go to the next video.
1131000	1132000	Let's go to the next video.
1132000	1133000	Let's go to the next video.
1133000	1134000	Let's go to the next video.
1134000	1135000	Let's go to the next video.
1135000	1136000	Let's go to the next video.
1136000	1137000	Let's go to the next video.
1137000	1138000	Let's go to the next video.
1138000	1139000	Let's go to the next video.
1139000	1140000	Let's go to the next video.
1140000	1141000	Let's go to the next video.
1141000	1142000	Let's go to the next video.
1142000	1143000	Let's go to the next video.
1143000	1144000	Let's go to the next video.
1144000	1145000	Let's go to the next video.
1145000	1146000	Let's go to the next video.
1146000	1147000	Let's go to the next video.
1147000	1148000	Let's go to the next video.
1148000	1149000	Let's go to the next video.
1149000	1150000	Let's go to the next video.
1150000	1151000	Let's go to the next video.
1151000	1152000	Let's go to the next video.
1152000	1153000	Let's go to the next video.
1153000	1154000	Let's go to the next video.
1154000	1155000	Let's go to the next video.
1155000	1156000	Let's go to the next video.
1156000	1157000	Let's go to the next video.
1157000	1158000	Let's go to the next video.
1158000	1159000	Let's go to the next video.
1159000	1160000	Let's go to the next video.
1160000	1161000	Let's go to the next video.
1161000	1162000	Let's go to the next video.
1162000	1163000	Let's go to the next video.
1163000	1164000	Let's go to the next video.
1164000	1165000	Let's go to the next video.
1165000	1166000	Let's go to the next video.
1166000	1167000	Let's go to the next video.
1167000	1168000	Let's go to the next video.
1168000	1169000	Let's go to the next video.
1169000	1170000	Let's go to the next video.
1170000	1171000	Let's go to the next video.
1171000	1172000	Let's go to the next video.
1172000	1173000	Let's go to the next video.
1173000	1174000	Let's go to the next video.
1174000	1175000	Let's go to the next video.
1175000	1176000	Let's go to the next video.
1176000	1177000	Let's go to the next video.
1177000	1178000	Let's go to the next video.
1178000	1179000	Let's go to the next video.
1179000	1180000	Let's go to the next video.
1180000	1181000	Let's go to the next video.
1181000	1182000	Let's go to the next video.
1182000	1183000	Let's go to the next video.
1183000	1184000	Let's go to the next video.
1184000	1185000	Let's go to the next video.
